order_hour_of_day,department,num_orders_hour,tot_orders_dept
15,international,1039.0,11902.0
16,international,1015.0,11902.0
17,international,885.0,11902.0
18,international,654.0,11902.0
19,international,508.0,11902.0
20,international,302.0,11902.0
21,international,310.0,11902.0
22,international,254.0,11902.0
23,international,133.0,11902.0
0,meat seafood,188.0,30307.0
1,meat seafood,120.0,30307.0
2,meat seafood,77.0,30307.0
3,meat seafood,40.0,30307.0
4,meat seafood,50.0,30307.0
5,meat seafood,93.0,30307.0
6,meat seafood,246.0,30307.0
7,meat seafood,796.0,30307.0
8,meat seafood,1446.0,30307.0
9,meat seafood,1885.0,30307.0
10,meat seafood,2360.0,30307.0
11,meat seafood,2535.0,30307.0
12,meat seafood,2517.0,30307.0
13,meat seafood,2534.0,30307.0
14,meat seafood,2670.0,30307.0
15,meat seafood,2579.0,30307.0
16,meat seafood,2522.0,30307.0
17,meat seafood,2149.0,30307.0
18,meat seafood,1729.0,30307.0
19,meat seafood,1242.0,30307.0
20,meat seafood,906.0,30307.0
21,meat seafood,688.0,30307.0
22,meat seafood,549.0,30307.0
23,meat seafood,386.0,30307.0
0,missing,67.0,8251.0
1,missing,40.0,8251.0
2,missing,13.0,8251.0
3,missing,15.0,8251.0
4,missing,13.0,8251.0
5,missing,25.0,8251.0
6,missing,70.0,8251.0
7,missing,205.0,8251.0
8,missing,367.0,8251.0
9,missing,540.0,8251.0
10,missing,663.0,8251.0
11,missing,665.0,8251.0
12,missing,679.0,8251.0
13,missing,659.0,8251.0
14,missing,697.0,8251.0
15,missing,701.0,8251.0
16,missing,651.0,8251.0
17,missing,562.0,8251.0
18,missing,508.0,8251.0
19,missing,348.0,8251.0
20,missing,234.0,8251.0
21,missing,202.0,8251.0
22,missing,187.0,8251.0
23,missing,140.0,8251.0
0,other,14.0,1795.0
1,other,10.0,1795.0
2,other,6.0,1795.0
3,other,2.0,1795.0
4,other,3.0,1795.0
5,other,7.0,1795.0
6,other,14.0,1795.0
7,other,39.0,1795.0
8,other,78.0,1795.0
9,other,98.0,1795.0
10,other,135.0,1795.0
11,other,136.0,1795.0
12,other,140.0,1795.0
13,other,128.0,1795.0
14,other,188.0,1795.0
15,other,158.0,1795.0
16,other,142.0,1795.0
17,other,148.0,1795.0
18,other,105.0,1795.0
19,other,75.0,1795.0
20,other,53.0,1795.0
21,other,52.0,1795.0
22,other,32.0,1795.0
23,other,32.0,1795.0
0,pantry,565.0,81242.0
1,pantry,350.0,81242.0
2,pantry,201.0,81242.0
3,pantry,136.0,81242.0
4,pantry,140.0,81242.0
5,pantry,236.0,81242.0
6,pantry,611.0,81242.0
7,pantry,1899.0,81242.0
8,pantry,3760.0,81242.0
9,pantry,5218.0,81242.0
10,pantry,6547.0,81242.0
11,pantry,6880.0,81242.0
12,pantry,6939.0,81242.0
13,pantry,6895.0,81242.0
14,pantry,7127.0,81242.0
15,pantry,6939.0,81242.0
16,pantry,6360.0,81242.0
17,pantry,5640.0,81242.0
18,pantry,4454.0,81242.0
19,pantry,3351.0,81242.0
20,pantry,2285.0,81242.0
21,pantry,2010.0,81242.0
22,pantry,1597.0,81242.0
23,pantry,1102.0,81242.0
0,personal care,157.0,21570.0
1,personal care,101.0,21570.0
2,personal care,60.0,21570.0
3,personal care,37.0,21570.0
4,personal care,38.0,21570.0
5,personal care,95.0,21570.0
6,personal care,205.0,21570.0
7,personal care,607.0,21570.0
8,personal care,1027.0,21570.0
9,personal care,1472.0,21570.0
10,personal care,1644.0,21570.0
11,personal care,1764.0,21570.0
12,personal care,1643.0,21570.0
13,personal care,1696.0,21570.0
14,personal care,1801.0,21570.0
15,personal care,1738.0,21570.0
16,personal care,1660.0,21570.0
17,personal care,1612.0,21570.0
18,personal care,1287.0,21570.0
19,personal care,1048.0,21570.0
20,personal care,679.0,21570.0
21,personal care,524.0,21570.0
22,personal care,424.0,21570.0
23,personal care,251.0,21570.0
0,pets,57.0,4497.0
1,pets,18.0,4497.0
2,pets,8.0,4497.0
3,pets,6.0,4497.0
4,pets,20.0,4497.0
5,pets,16.0,4497.0
6,pets,40.0,4497.0
7,pets,103.0,4497.0
8,pets,200.0,4497.0
9,pets,248.0,4497.0
10,pets,358.0,4497.0
11,pets,378.0,4497.0
12,pets,342.0,4497.0
13,pets,369.0,4497.0
14,pets,375.0,4497.0
15,pets,356.0,4497.0
16,pets,353.0,4497.0
17,pets,344.0,4497.0
18,pets,350.0,4497.0
19,pets,207.0,4497.0
20,pets,146.0,4497.0
21,pets,112.0,4497.0
22,pets,60.0,4497.0
23,pets,31.0,4497.0
0,produce,2782.0,409087.0
1,produce,1697.0,409087.0
2,produce,985.0,409087.0
3,produce,682.0,409087.0
4,produce,622.0,409087.0
5,produce,1057.0,409087.0
6,produce,3413.0,409087.0
7,produce,11262.0,409087.0
8,produce,20436.0,409087.0
9,produce,27891.0,409087.0
10,produce,32430.0,409087.0
11,produce,33335.0,409087.0
12,produce,33503.0,409087.0
13,produce,34361.0,409087.0
14,produce,35391.0,409087.0
15,produce,34824.0,409087.0
16,produce,32200.0,409087.0
17,produce,27582.0,409087.0
18,produce,21247.0,409087.0
19,produce,16522.0,409087.0
20,produce,11879.0,409087.0
21,produce,10882.0,409087.0
22,produce,8698.0,409087.0
23,produce,5406.0,409087.0
0,snacks,759.0,118862.0
1,snacks,455.0,118862.0
2,snacks,244.0,118862.0
3,snacks,203.0,118862.0
4,snacks,194.0,118862.0
5,snacks,289.0,118862.0
6,snacks,921.0,118862.0
7,snacks,2922.0,118862.0
8,snacks,5714.0,118862.0
9,snacks,8270.0,118862.0
10,snacks,9912.0,118862.0
11,snacks,10242.0,118862.0
12,snacks,9600.0,118862.0
13,snacks,9641.0,118862.0
14,snacks,10482.0,118862.0
15,snacks,9909.0,118862.0
16,snacks,9546.0,118862.0
17,snacks,8423.0,118862.0
18,snacks,6460.0,118862.0
19,snacks,4959.0,118862.0
20,snacks,3397.0,118862.0
21,snacks,2782.0,118862.0
22,snacks,2216.0,118862.0
23,snacks,1322.0,118862.0
